name,category,location,description,visitors,image,latitude,longitude
Kompleks Kepurbakalaan Candi Cangkuang,Struktur,"Kab. Garut, Prov. Jawa Barat",-,0,,-7.10336,107.919
Situs Prasasti Batutulis,Situs,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.62366,106.809
Situs Purwakalih,Situs,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.62483,106.809
Gedung Naskah Linggarjati,Bangunan,"Kab. Kuningan, Prov. Jawa Barat",-,0,,-6.88121,108.475
Vihara Mahacetya Dhanagun,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.60323,106.799
Padepokan bekas kediaman Bung Karno,Bangunan,"Kab. Karawang, Prov. Jawa Barat",-,0,,-6.15626,107.29
Keraton Kasepuhan,Bangunan,"Kota Cirebon, Prov. Jawa Barat",-,0,,-6.72741,108.571
Keraton Kanoman,Bangunan,"Kota Cirebon, Prov. Jawa Barat",-,0,,-6.7225,108.568
Keraton Kacirebonan,Bangunan,"Kota Cirebon, Prov. Jawa Barat",-,0,,-6.72528,108.565
Gedung Merdeka Bandung,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92122,107.609
Masjid Agung Manonjaya,Bangunan,"Kab. Tasikmalaya, Prov. Jawa Barat",-,0,,-7.35125,108.307
Gedung Juang 45,Bangunan,"Kab. Bekasi, Prov. Jawa Barat",-,0,,-6.25912,107.055
Bangunan Cagar Budaya Gedung Sate,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.90247,107.619
Museum Geologi,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.90071,107.621
Gedung Dwiwarna,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.90069,107.623
Gedung Bank Mandiri (eks. Bank Dagang Negara),Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92102,107.608
Gedung Asuransi Jiwasraya,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92098,107.607
Hotel Savoy Homann,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92176,107.61
Gedung PLN Distribusi Jawa Barat,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92114,107.608
Gedung Harian Umum Pikiran Rakyat,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92145,107.611
Gedung SLB Cicendo,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.91078,107.604
Hotel Preanger,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.92147,107.612
Gedung Paguyuban Pasundan,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.91157,107.612
Gedung SMPN 5 Bandung,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.91468,107.614
Gedung SMUN 3 dan SMUN 5 Bandung,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.91238,107.615
Gedung SMP Negeri 2 Bandung,Bangunan,"Kota Bandung, Prov. Jawa Barat",-,0,,-6.91398,107.614
Balai Kota Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.59517,106.794
Gedung Karesidenan Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.59355,106.795
Markas Kodim 0606 Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.58676,106.797
Markas Korem 061/Surya Kencana,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.58722,106.788
Gedung Blenong/Badan Pertanahan Nasional Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.59251,106.802
Gedung RRI Regional II Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.59262,106.804
Balai Penelitian Bio Teknologi Perkebunan Republik Indonesia,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.58839,106.802
Kantor Pos Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.60008,106.795
Lembaga Pemasyarakatan Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.59616,106.79
Museum Zoologi Bogor,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.60365,106.797
Monumen dan Museum Peta,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.58519,106.796
Makam Raden Saleh,Situs,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.60988,106.798
Gereja Kathedral,Bangunan,"Kota Bogor, Prov. Jawa Barat",-,0,,-6.59693,106.793
